rows,macro_f1,accuracy,roc_auc,average_image_weight,average_text_weight,delta_image_weight,delta_text_weight,delta_quality,target_weight,delta_target_weight,adapted_in_expected_direction,corruption,modality,level
3780,0.8670705818530706,0.8671957671957672,0.9323529675287077,0.6430423259735107,0.35695764422416687,-0.016402116045355797,0.016402119770646095,-0.15965428402096565,image_weight,-0.016402116045355797,True,image_quality_drop,image,0.25
3780,0.8665409825775849,0.8666666666666667,0.932415685852874,0.5962036848068237,0.4037962853908539,-0.06324074417352676,0.06324074417352676,-0.31930856804193136,image_weight,-0.06324074417352676,True,image_quality_drop,image,0.5
3780,0.8657572572973293,0.8658730158730159,0.9324859639750427,0.5311905145645142,0.46880948543548584,-0.1282539665699005,0.1282539814710617,-0.478962852062897,image_weight,-0.1282539665699005,True,image_quality_drop,image,0.75
3780,0.8673332160630083,0.8674603174603175,0.9318260216087024,0.6105291247367859,0.3894708752632141,-0.04891534149646759,0.04891534149646759,-0.18837375073486184,text_weight,0.04891534149646759,False,text_quality_drop,text,0.25
3780,0.8673332160630083,0.8674603174603175,0.9326312800921959,0.5310978889465332,0.4689021110534668,-0.1283465474843979,0.12834656238555908,-0.3767475014697237,text_weight,0.12834656238555908,False,text_quality_drop,text,0.5
3780,0.8673332160630083,0.8674603174603175,0.9325411225012067,0.5110846161842346,0.4889153242111206,-0.14835979044437408,0.14835979044437408,-0.5651212522045855,text_weight,0.14835979044437408,False,text_quality_drop,text,0.75
3780,0.8625667447838348,0.8626984126984127,0.9284047930239304,0.6466666460037231,0.35333332419395447,-0.012777776457369328,0.012777778320014477,0.0,image_weight,-0.012777776457369328,True,image_probability_noise,image,0.1
3780,0.8561868675279498,0.8563492063492063,0.9208505948721051,0.6439947485923767,0.3560052812099457,-0.015449737198650837,0.015449736267328262,0.0,image_weight,-0.015449737198650837,True,image_probability_noise,image,0.2
3780,0.862285665602468,0.8624338624338624,0.9293931666145878,0.6633597612380981,0.3366401791572571,0.003915342502295971,-0.00391534436494112,0.0,text_weight,-0.00391534436494112,True,text_probability_noise,text,0.1
3780,0.8551169943969126,0.8552910052910053,0.9258022625635443,0.6551322340965271,0.34486767649650574,-0.004312170669436455,0.004312169272452593,0.0,text_weight,0.004312169272452593,False,text_probability_noise,text,0.2
