method_name,file_path,exists,source_kind,split,threshold_type,row_count,sample_id_column,label_column,prediction_column,probability_column,duplicate_id_count,missing_id_count,load_error
rl_full_state_adaptive_fusion,outputs/metrics/final_rl_fusion_test_predictions.csv,True,prediction_csv,test,default_threshold_0.5,3780,sample_id,label,final_prediction,final_probability,0,0,
matched_supervised_mlp_fusion,outputs/metrics/final_supervised_fusion_matched_test_predictions.csv,True,prediction_csv,test,default_threshold_0.5,3780,sample_id,label,final_prediction,final_probability,0,0,
equal_fusion,data/final_modality_outputs/test_outputs.csv,True,derived_baseline,test,default_threshold_0.5_derived_from_modality_probabilities,3780,sample_id,label,equal_fusion_prediction,equal_fusion_probability,0,0,
confidence_weighted_fusion,data/final_modality_outputs/test_outputs.csv,True,derived_baseline,test,default_threshold_0.5_derived_from_modality_probabilities,3780,sample_id,label,confidence_weighted_fusion_prediction,confidence_weighted_fusion_probability,0,0,
