seed,controller_method,controller_validation_macro_f1,controller_test_macro_f1,rl_test_macro_f1,delta_macro_f1,controller_test_accuracy,rl_test_accuracy,delta_accuracy,rl_roc_auc,mcnemar_b,mcnemar_c,mcnemar_p_value,rl_predictions_path
42,state_decision_tree_depth_5,0.8604481875055462,0.8528505686350071,0.8676044474818365,0.014753878846829438,0.852910052910053,0.8677248677248677,0.014814814814814725,0.9328939130746426,108,52,1.1307691767152769e-05,outputs/metrics/seed_significance/rl_seed_42_test_predictions.csv
7,state_decision_tree_depth_5,0.8604481875055462,0.8528505686350071,0.8544529826427305,0.0016024140077234295,0.852910052910053,0.8544973544973545,0.0015873015873015817,0.9150057510463321,35,29,0.5323087760278421,outputs/metrics/seed_significance/rl_seed_7_test_predictions.csv
13,state_decision_tree_depth_5,0.8604481875055462,0.8528505686350071,0.8560101236579725,0.003159555022965388,0.852910052910053,0.8560846560846561,0.0031746031746031633,0.9081492942508576,32,20,0.12634707581392135,outputs/metrics/seed_significance/rl_seed_13_test_predictions.csv
aggregate,state_decision_tree_depth_5,,0.8528505686350071,0.8593558512608466,0.006505282625839419,,0.8594356261022928,,,1.1307691767152769e-05,0.5323087760278421,,mean/std from seeds 42/7/13
