method_name,file_path,exists,source_kind,split,threshold_type,row_count,sample_id_column,label_column,prediction_column,probability_column,duplicate_id_count,missing_id_count,load_error
rl_full_state_adaptive_fusion,outputs/metrics/final_rl_fusion_test_predictions.csv,False,prediction_csv,test,default_threshold_0.5,,sample_id,label,final_prediction,final_probability,,,missing file: outputs/metrics/final_rl_fusion_test_predictions.csv
matched_supervised_mlp_fusion,outputs/metrics/final_supervised_fusion_matched_test_predictions.csv,False,prediction_csv,test,default_threshold_0.5,,sample_id,label,final_prediction,final_probability,,,missing file: outputs/metrics/final_supervised_fusion_matched_test_predictions.csv
equal_fusion,data/final_modality_outputs/test_outputs.csv,False,derived_baseline,test,default_threshold_0.5_derived_from_modality_probabilities,,sample_id,label,equal_fusion_prediction,equal_fusion_probability,,,missing file: data/final_modality_outputs/test_outputs.csv
confidence_weighted_fusion,data/final_modality_outputs/test_outputs.csv,False,derived_baseline,test,default_threshold_0.5_derived_from_modality_probabilities,,sample_id,label,confidence_weighted_fusion_prediction,confidence_weighted_fusion_probability,,,missing file: data/final_modality_outputs/test_outputs.csv
