modality,explanation_method,control_type,n_samples,salient_score,control_score,comparison_margin,passes_faithfulness_test,formula,probability_target,deletion_proportion,negative_difference_treatment,missing_failed_sample_handling,random_repetitions,source_file
image,Grad-CAM salient-region deletion,random image-region deletion,300,0.1259506488839785,0.1857985487580299,-0.0598478998740514,False,original predicted-class probability minus probability after deleting evidence,predicted-class probability,from saved N=300 faithfulness configuration; no raw outputs modified,retained in arithmetic mean; not clipped,only completed rows in saved summary are aggregated,as encoded in saved source output,outputs\metrics\final_explainability_faithfulness_n300.csv
text,token saliency deletion,least-salient token deletion,300,0.1561762981209904,0.0631163146843512,0.09305998343663921,True,original predicted-class probability minus probability after deleting evidence,predicted-class probability,from saved N=300 faithfulness configuration; no raw outputs modified,retained in arithmetic mean; not clipped,only completed rows in saved summary are aggregated,as encoded in saved source output,outputs\metrics\final_explainability_faithfulness_n300.csv
text,token saliency deletion,random token deletion,300,0.1561762981209904,0.1195022134490621,0.0366740846719283,True,original predicted-class probability minus probability after deleting evidence,predicted-class probability,from saved N=300 faithfulness configuration; no raw outputs modified,retained in arithmetic mean; not clipped,only completed rows in saved summary are aggregated,as encoded in saved source output,outputs\metrics\final_explainability_faithfulness_n300.csv
