split,method,accuracy,precision_macro,recall_macro,macro_f1,weighted_f1,balanced_accuracy,roc_auc,tn,fp,fn,tp
train,image_only,0.825543852220399,0.8377059385088927,0.82713718057975,0.8244087984142301,0.8241704296425593,0.82713718057975,0.9087164517815431,8558,729,2567,7039
train,text_only,0.9882496162599905,0.9882246104930653,0.9882748717696248,0.9882469041067515,0.9882499186603516,0.9882748717696248,0.9992461068836392,9192,95,127,9479
train,equal_fusion,0.9852855554967448,0.9852663023521345,0.9854011485275311,0.9852841444963916,0.9852865775186223,0.9854011485275311,0.9985389232946164,9215,72,206,9400
train,confidence_weighted_fusion,0.9852855554967448,0.9852663023521345,0.9854011485275311,0.9852841444963916,0.9852865775186223,0.9854011485275311,0.9987701169594458,9215,72,206,9400
train,reliability_weighted_fusion,0.9867146562218811,0.9866848921153548,0.9868118838632786,0.9867130765858791,0.9867155227212414,0.9868118838632786,0.9989748228361545,9218,69,182,9424
validation,image_only,0.7959452343338599,0.8073692233632863,0.7975426726621189,0.794585550203593,0.7943039327785539,0.7975426726621189,0.8612751884304155,1666,201,574,1357
validation,text_only,0.8478146392838336,0.8492267256474263,0.8483572373839066,0.8477658392613685,0.84771990982846,0.8483572373839066,0.9185406153428806,1644,223,355,1576
validation,equal_fusion,0.8675618746708794,0.8697792133416823,0.8682299093775423,0.8674789617682124,0.8674231046548369,0.8682299093775423,0.9376352395457976,1695,172,331,1600
validation,confidence_weighted_fusion,0.8675618746708794,0.8697792133416823,0.8682299093775423,0.8674789617682124,0.8674231046548369,0.8682299093775423,0.939216853985255,1695,172,331,1600
validation,reliability_weighted_fusion,0.8654555028962612,0.8679138321995465,0.8661584438156573,0.8653564767231192,0.8652949458970891,0.8661584438156573,0.938039380590745,1695,172,339,1592
test,image_only,0.7791005291005291,0.7933787202836382,0.7804794255897483,0.7769284368078044,0.7766489182285798,0.7804794255897483,0.8572159951886086,1659,207,628,1286
test,text_only,0.8388888888888889,0.8408545795227239,0.8393702520268658,0.838769176548389,0.8387133882732046,0.8393702520268658,0.912095228815486,1637,229,380,1534
test,equal_fusion,0.8674603174603175,0.8699932352143829,0.8679933272182967,0.8673332160630083,0.8672810719000096,0.8679933272182967,0.9325416824862439,1698,168,333,1581
test,confidence_weighted_fusion,0.8674603174603175,0.8699932352143829,0.8679933272182967,0.8673332160630083,0.8672810719000096,0.8679933272182967,0.9339962436203705,1698,168,333,1581
test,reliability_weighted_fusion,0.8613756613756614,0.8643821855117759,0.8619580884798759,0.8612064094284793,0.8611448632658676,0.8619580884798759,0.9328661938153013,1694,172,352,1562
