method,source,selected_threshold,validation_macro_f1_at_selected_threshold,test_macro_f1_at_0_5,test_macro_f1_tuned,test_accuracy_tuned,test_roc_auc
image_only,baseline,0.42499999999999993,0.7988655049267948,0.7769284368078044,0.7793714060583068,0.7798941798941799,0.8572159951886086
text_only,baseline,0.4799999999999999,0.8493661810693311,0.838769176548389,0.8385286880837561,0.8386243386243386,0.912095228815486
equal_fusion,baseline,0.48499999999999993,0.8698945987950106,0.8673332160630083,0.867142060170456,0.8671957671957672,0.9325416824862439
confidence_weighted_fusion,baseline,0.4799999999999999,0.8704213413100106,0.8673332160630083,0.8671391950717237,0.8671957671957672,0.9339962436203705
reliability_weighted_fusion,baseline,0.4799999999999999,0.8690906049505315,0.8612064094284793,0.8639474265047768,0.864021164021164,0.9328661938153013
rl_adaptive_fusion,rl,0.48999999999999994,0.8704062437495786,0.8676044474818365,0.8684550955427615,0.8685185185185185,0.9328939130746426
supervised_mlp_fusion,supervised_fusion,0.635,0.8599197123042724,0.8499976379068706,0.8509931166569424,0.8510582010582011,0.9290694952630866
